               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.019454,           0.0088753,            0.005495,             0.98871,             0.98822,             0.99444,             0.83771,            0.014611,           0.0037347,          0.00043676,            0.008845,            0.008845,            0.008845
                  37,            0.019184,           0.0088406,           0.0055222,             0.98591,             0.98756,             0.99416,             0.84171,              0.0142,           0.0037034,          0.00038748,            0.008812,            0.008812,            0.008812
                  38,              0.0191,           0.0088088,           0.0056456,             0.98636,             0.98933,             0.99445,             0.84255,            0.014396,           0.0036562,          0.00039177,            0.008779,            0.008779,            0.008779
                  39,            0.018719,           0.0087372,           0.0049462,             0.98602,             0.98987,             0.99461,             0.85503,            0.013816,           0.0035453,          0.00027295,            0.008746,            0.008746,            0.008746
                  40,             0.01897,           0.0087943,           0.0051288,             0.98826,             0.99392,             0.99451,             0.85239,            0.013548,           0.0035218,          0.00033269,            0.008713,            0.008713,            0.008713
                  41,            0.018817,           0.0087434,           0.0052397,             0.98683,             0.99622,             0.99457,             0.85742,            0.013012,            0.003504,          0.00024084,             0.00868,             0.00868,             0.00868
                  42,            0.018475,           0.0085885,           0.0050944,              0.9854,             0.99157,             0.99451,             0.85831,             0.01323,            0.003479,          0.00027618,            0.008647,            0.008647,            0.008647
                  43,            0.018382,           0.0084741,           0.0047995,             0.98909,             0.99466,             0.99454,             0.86262,            0.013188,           0.0034213,          0.00031879,            0.008614,            0.008614,            0.008614
                  44,            0.018606,           0.0084622,           0.0050557,             0.98965,             0.99133,             0.99477,             0.86581,            0.012916,           0.0033767,          0.00026563,            0.008581,            0.008581,            0.008581
                  45,            0.018224,           0.0084185,           0.0048891,             0.99026,             0.99217,             0.99452,             0.86884,            0.013144,           0.0033094,          0.00026487,            0.008548,            0.008548,            0.008548
                  46,             0.01838,           0.0083792,           0.0051601,             0.98973,             0.99542,              0.9947,             0.87071,            0.012976,           0.0033725,          0.00025574,            0.008515,            0.008515,            0.008515
                  47,            0.018022,           0.0083878,            0.004712,             0.99173,             0.99401,             0.99477,             0.87314,            0.012864,           0.0033287,          0.00026659,            0.008482,            0.008482,            0.008482
                  48,            0.017918,           0.0083384,           0.0045947,             0.98933,             0.99443,             0.99488,             0.87323,            0.013005,           0.0032624,          0.00027207,            0.008449,            0.008449,            0.008449
                  49,            0.017711,           0.0081184,           0.0039571,             0.99317,             0.99342,             0.99482,             0.87535,            0.012799,           0.0032275,          0.00025737,            0.008416,            0.008416,            0.008416
                  50,            0.018113,           0.0083391,            0.004767,             0.99427,              0.9938,             0.99482,             0.87658,            0.012198,           0.0032455,          0.00026123,            0.008383,            0.008383,            0.008383
                  51,            0.017822,           0.0083247,           0.0047047,             0.99229,             0.99571,             0.99474,             0.87859,            0.012203,           0.0031785,          0.00021811,             0.00835,             0.00835,             0.00835
                  52,            0.017495,           0.0083163,           0.0043187,             0.99138,              0.9937,             0.99472,              0.8831,            0.012068,           0.0031549,          0.00018939,            0.008317,            0.008317,            0.008317
                  53,            0.017378,           0.0083008,           0.0043765,             0.99028,             0.99717,             0.99435,             0.88152,            0.011957,            0.003073,          0.00019211,            0.008284,            0.008284,            0.008284
                  54,            0.017696,           0.0080413,           0.0042056,             0.99163,              0.9951,             0.99487,             0.88371,            0.012118,           0.0030711,          0.00019886,            0.008251,            0.008251,            0.008251
                  55,            0.017433,           0.0080137,           0.0040733,             0.99541,              0.9951,             0.99495,             0.88714,            0.011582,           0.0030318,          0.00020863,            0.008218,            0.008218,            0.008218
                  56,            0.017128,           0.0080536,           0.0041917,             0.99448,             0.99587,             0.99486,             0.88718,            0.011866,            0.003012,            0.000185,            0.008185,            0.008185,            0.008185
                  57,             0.01749,           0.0081711,           0.0047596,             0.99319,             0.99717,             0.99485,             0.88657,            0.011624,           0.0030258,            0.000213,            0.008152,            0.008152,            0.008152
                  58,            0.017283,           0.0080045,           0.0044203,             0.99359,             0.99676,             0.99482,              0.8893,            0.011722,           0.0030053,          0.00017927,            0.008119,            0.008119,            0.008119
                  59,             0.01709,           0.0080433,           0.0043053,             0.99458,             0.99765,             0.99485,             0.89127,            0.011533,           0.0029855,          0.00017082,            0.008086,            0.008086,            0.008086
                  60,            0.017467,           0.0080574,            0.004674,             0.99544,             0.99678,             0.99488,             0.89175,            0.011373,           0.0029971,          0.00017619,            0.008053,            0.008053,            0.008053
                  61,            0.017136,           0.0079531,           0.0039564,             0.99341,             0.99767,             0.99494,             0.89248,            0.011328,           0.0029908,          0.00017221,             0.00802,             0.00802,             0.00802
                  62,            0.017026,           0.0079174,           0.0040417,             0.99342,             0.99615,              0.9949,             0.89301,            0.011224,           0.0029735,          0.00019568,            0.007987,            0.007987,            0.007987
                  63,            0.017062,           0.0079014,           0.0038413,             0.99511,             0.99737,             0.99491,             0.89457,            0.011044,            0.002944,          0.00018345,            0.007954,            0.007954,            0.007954
                  64,            0.017157,           0.0079308,            0.004442,             0.99466,              0.9963,             0.99487,              0.8957,            0.010893,           0.0029409,          0.00017417,            0.007921,            0.007921,            0.007921
                  65,            0.016882,           0.0078412,           0.0039939,             0.99483,             0.99706,             0.99483,             0.89804,            0.010768,            0.002925,          0.00017356,            0.007888,            0.007888,            0.007888
                  66,             0.01682,            0.007817,           0.0040551,             0.99569,             0.99664,             0.99486,              0.8996,             0.01049,           0.0029045,          0.00017036,            0.007855,            0.007855,            0.007855
                  67,            0.016975,           0.0078746,           0.0043915,             0.99491,             0.99695,             0.99487,             0.90012,             0.01042,           0.0028797,          0.00016515,            0.007822,            0.007822,            0.007822
                  68,            0.016832,           0.0077582,           0.0041911,             0.99378,             0.99802,             0.99487,             0.90189,            0.010314,           0.0028573,          0.00016647,            0.007789,            0.007789,            0.007789
                  69,            0.016653,           0.0077976,           0.0042102,             0.99297,             0.99824,             0.99488,             0.90309,             0.01027,           0.0028522,          0.00016618,            0.007756,            0.007756,            0.007756
                  70,            0.016223,           0.0076566,           0.0039445,             0.99293,              0.9978,             0.99488,             0.90476,             0.01028,           0.0028288,          0.00016268,            0.007723,            0.007723,            0.007723
                  71,            0.016436,           0.0075703,           0.0034722,             0.99447,             0.99784,              0.9949,             0.90625,            0.010244,           0.0028054,          0.00016021,             0.00769,             0.00769,             0.00769
                  72,            0.016344,           0.0077355,           0.0039012,             0.99563,             0.99736,             0.99495,             0.90783,            0.010174,           0.0027852,          0.00015434,            0.007657,            0.007657,            0.007657
                  73,            0.016279,           0.0075383,           0.0036207,             0.99623,              0.9974,             0.99491,             0.90926,            0.010143,           0.0027826,          0.00015508,            0.007624,            0.007624,            0.007624
                  74,            0.016296,           0.0075557,            0.003545,             0.99694,              0.9974,             0.99492,             0.90897,            0.010139,           0.0027652,          0.00015341,            0.007591,            0.007591,            0.007591
                  75,            0.016179,           0.0075421,            0.003544,             0.99655,             0.99829,             0.99492,             0.91001,            0.010109,           0.0027498,          0.00015213,            0.007558,            0.007558,            0.007558
                  76,            0.015986,           0.0074651,           0.0034663,              0.9968,             0.99885,             0.99493,             0.91228,            0.010042,           0.0027367,          0.00014993,            0.007525,            0.007525,            0.007525
                  77,            0.015816,           0.0074515,           0.0034553,             0.99641,             0.99987,             0.99493,              0.9134,           0.0099722,           0.0027315,          0.00014692,            0.007492,            0.007492,            0.007492
                  78,            0.016022,            0.007502,           0.0036225,             0.99633,             0.99971,             0.99495,             0.91407,           0.0098958,            0.002725,          0.00014432,            0.007459,            0.007459,            0.007459
                  79,            0.016258,           0.0074944,           0.0034928,             0.99599,             0.99951,             0.99496,             0.91531,           0.0097802,           0.0027139,          0.00014538,            0.007426,            0.007426,            0.007426
                  80,            0.015951,           0.0075735,           0.0038478,             0.99554,             0.99978,             0.99497,              0.9151,            0.009704,           0.0027042,           0.0001477,            0.007393,            0.007393,            0.007393
                  81,            0.015923,           0.0074196,           0.0034443,             0.99519,             0.99952,             0.99498,             0.91613,           0.0096368,           0.0026837,          0.00014513,             0.00736,             0.00736,             0.00736
                  82,            0.015752,           0.0073664,           0.0032145,             0.99521,             0.99905,             0.99499,             0.91667,           0.0096127,           0.0026709,          0.00014104,            0.007327,            0.007327,            0.007327
                  83,            0.015766,           0.0073821,           0.0033977,             0.99734,             0.99782,             0.99499,             0.91716,           0.0095996,            0.002656,          0.00013963,            0.007294,            0.007294,            0.007294
                  84,            0.015755,           0.0074515,           0.0035781,              0.9977,             0.99796,             0.99498,             0.91775,           0.0096194,            0.002642,          0.00013894,            0.007261,            0.007261,            0.007261
                  85,            0.016111,           0.0074346,           0.0035819,             0.99756,              0.9981,             0.99499,             0.91959,           0.0096187,           0.0026368,          0.00013761,            0.007228,            0.007228,            0.007228
                  86,            0.015831,           0.0074283,           0.0034149,             0.99759,             0.99804,             0.99499,             0.91971,            0.009622,           0.0026319,          0.00013553,            0.007195,            0.007195,            0.007195
                  87,            0.015587,           0.0072496,           0.0032232,             0.99738,             0.99815,             0.99499,             0.91986,           0.0096352,           0.0026281,          0.00013472,            0.007162,            0.007162,            0.007162
                  88,            0.015738,           0.0074044,           0.0033821,             0.99658,             0.99867,             0.99499,             0.91946,           0.0096375,           0.0026232,          0.00013261,            0.007129,            0.007129,            0.007129
                  89,            0.015857,           0.0073978,           0.0035713,             0.99771,             0.99723,             0.99499,             0.92003,           0.0096363,           0.0026188,          0.00013014,            0.007096,            0.007096,            0.007096
                  90,            0.015487,           0.0073609,           0.0033266,             0.99742,             0.99755,             0.99498,             0.91929,           0.0096342,           0.0026119,          0.00012824,            0.007063,            0.007063,            0.007063
                  91,            0.015372,           0.0072581,           0.0032461,             0.99759,             0.99756,             0.99498,             0.92042,           0.0096561,           0.0026061,           0.0001278,             0.00703,             0.00703,             0.00703
                  92,            0.015419,            0.007277,           0.0029519,             0.99757,             0.99761,             0.99498,             0.92078,           0.0096543,           0.0025997,          0.00012785,            0.006997,            0.006997,            0.006997
                  93,            0.015214,           0.0072393,           0.0032059,             0.99748,              0.9976,             0.99497,             0.92168,           0.0096353,           0.0025951,          0.00012711,            0.006964,            0.006964,            0.006964
                  94,            0.015346,           0.0071256,           0.0035019,             0.99731,             0.99771,             0.99498,             0.92231,           0.0096007,           0.0025878,          0.00012625,            0.006931,            0.006931,            0.006931
                  95,            0.015191,           0.0071211,           0.0030878,             0.99751,             0.99737,             0.99497,             0.92277,           0.0095779,           0.0025811,          0.00012636,            0.006898,            0.006898,            0.006898
                  96,            0.014914,           0.0069794,           0.0028626,             0.99453,             0.99946,             0.99496,             0.92306,           0.0095571,           0.0025742,          0.00012599,            0.006865,            0.006865,            0.006865
                  97,            0.014845,           0.0069692,           0.0029793,             0.99501,             0.99961,             0.99495,             0.92283,             0.00953,           0.0025664,          0.00012491,            0.006832,            0.006832,            0.006832
                  98,            0.015248,           0.0071355,           0.0034682,             0.99508,             0.99954,             0.99495,              0.9227,           0.0095206,           0.0025622,          0.00012422,            0.006799,            0.006799,            0.006799
                  99,            0.015144,           0.0071696,           0.0032054,             0.99511,             0.99922,             0.99495,              0.9231,            0.009508,           0.0025571,          0.00012385,            0.006766,            0.006766,            0.006766
                 100,             0.01474,           0.0070059,           0.0028333,             0.99511,             0.99899,             0.99496,             0.92459,            0.009497,           0.0025522,          0.00012333,            0.006733,            0.006733,            0.006733
                 101,            0.014953,           0.0070653,           0.0032318,             0.99499,             0.99893,             0.99497,             0.92488,           0.0094796,           0.0025465,           0.0001222,              0.0067,              0.0067,              0.0067
                 102,            0.014768,           0.0069741,           0.0028628,             0.99687,             0.99726,             0.99497,             0.92554,            0.009461,           0.0025414,          0.00012163,            0.006667,            0.006667,            0.006667
                 103,            0.014652,           0.0069638,           0.0033117,             0.99619,             0.99769,             0.99497,             0.92619,           0.0094368,           0.0025359,          0.00012131,            0.006634,            0.006634,            0.006634
                 104,            0.014858,           0.0069144,           0.0027372,             0.99594,             0.99788,             0.99497,              0.9259,           0.0094179,           0.0025312,          0.00012078,            0.006601,            0.006601,            0.006601
                 105,            0.014644,           0.0069213,           0.0028173,             0.99557,             0.99838,             0.99497,             0.92615,           0.0093947,           0.0025263,          0.00012066,            0.006568,            0.006568,            0.006568
                 106,            0.014689,            0.006958,           0.0028057,             0.99564,             0.99941,             0.99497,             0.92719,           0.0093766,           0.0025213,          0.00012013,            0.006535,            0.006535,            0.006535
                 107,            0.014735,           0.0069679,           0.0029517,             0.99614,             0.99922,             0.99497,             0.92724,           0.0093611,           0.0025168,          0.00011991,            0.006502,            0.006502,            0.006502
                 108,            0.014441,           0.0068492,           0.0029057,             0.99617,             0.99919,             0.99498,             0.92729,           0.0093415,            0.002512,          0.00011924,            0.006469,            0.006469,            0.006469
                 109,             0.01429,            0.006836,           0.0027842,             0.99619,             0.99923,             0.99498,             0.92748,           0.0093214,           0.0025061,          0.00011903,            0.006436,            0.006436,            0.006436
                 110,            0.014558,           0.0068919,           0.0029378,             0.99619,             0.99931,             0.99498,             0.92809,           0.0093018,           0.0025025,          0.00011854,            0.006403,            0.006403,            0.006403
                 111,            0.014567,           0.0068836,           0.0028126,             0.99622,             0.99929,             0.99498,             0.92811,           0.0092889,           0.0024972,           0.0001179,             0.00637,             0.00637,             0.00637
                 112,            0.014544,            0.006776,           0.0026994,              0.9963,             0.99929,             0.99498,              0.9282,           0.0092765,           0.0024927,          0.00011732,            0.006337,            0.006337,            0.006337
                 113,             0.01441,           0.0068049,           0.0027126,             0.99648,             0.99882,             0.99498,              0.9281,           0.0092543,           0.0024887,          0.00011708,            0.006304,            0.006304,            0.006304
                 114,            0.014365,           0.0068351,           0.0029336,             0.99654,             0.99878,             0.99498,             0.92824,           0.0092419,           0.0024851,          0.00011651,            0.006271,            0.006271,            0.006271
                 115,            0.014205,           0.0067657,           0.0025396,             0.99655,             0.99881,             0.99498,             0.92908,           0.0092274,           0.0024812,           0.0001157,            0.006238,            0.006238,            0.006238
                 116,            0.014336,           0.0066716,           0.0024743,             0.99654,             0.99894,             0.99498,             0.92849,           0.0092137,           0.0024774,          0.00011531,            0.006205,            0.006205,            0.006205
                 117,            0.014458,           0.0068197,           0.0024797,             0.99647,             0.99909,             0.99499,             0.92906,           0.0092048,           0.0024737,          0.00011455,            0.006172,            0.006172,            0.006172
                 118,            0.014088,           0.0067026,           0.0024184,             0.99643,             0.99919,             0.99499,             0.92934,              0.0092,           0.0024695,          0.00011417,            0.006139,            0.006139,            0.006139
                 119,            0.014225,           0.0067937,           0.0027613,             0.99641,             0.99918,             0.99499,             0.93005,           0.0091843,           0.0024666,          0.00011398,            0.006106,            0.006106,            0.006106
                 120,            0.014007,           0.0066619,           0.0027494,             0.99639,             0.99919,             0.99499,             0.92999,           0.0091615,           0.0024643,          0.00011384,            0.006073,            0.006073,            0.006073
                 121,            0.014285,           0.0067795,           0.0026109,              0.9964,             0.99916,             0.99499,             0.93045,           0.0091445,            0.002462,          0.00011329,             0.00604,             0.00604,             0.00604
                 122,            0.014098,           0.0066758,            0.002359,             0.99642,             0.99916,             0.99499,             0.93096,           0.0091286,           0.0024592,          0.00011348,            0.006007,            0.006007,            0.006007
                 123,            0.013877,           0.0066994,           0.0026856,             0.99643,             0.99915,             0.99499,             0.93074,           0.0091088,           0.0024555,           0.0001134,            0.005974,            0.005974,            0.005974
                 124,            0.013924,             0.00668,           0.0026748,             0.99641,             0.99915,             0.99499,             0.93128,           0.0090964,           0.0024528,          0.00011318,            0.005941,            0.005941,            0.005941
                 125,            0.014038,           0.0066303,           0.0025847,             0.99637,             0.99915,             0.99499,             0.93153,           0.0090812,           0.0024502,          0.00011295,            0.005908,            0.005908,            0.005908
                 126,            0.013975,           0.0065648,           0.0026471,             0.99639,             0.99913,             0.99499,              0.9321,           0.0090642,           0.0024471,          0.00011242,            0.005875,            0.005875,            0.005875
                 127,            0.013671,           0.0066213,           0.0025735,             0.99649,             0.99908,             0.99499,             0.93209,           0.0090499,           0.0024441,          0.00011197,            0.005842,            0.005842,            0.005842
                 128,            0.013794,           0.0065803,           0.0025575,             0.99663,             0.99865,             0.99499,             0.93218,           0.0090435,           0.0024395,          0.00011174,            0.005809,            0.005809,            0.005809
                 129,            0.013824,           0.0065763,            0.002636,             0.99663,             0.99871,             0.99499,             0.93247,           0.0090374,            0.002435,          0.00011125,            0.005776,            0.005776,            0.005776
                 130,            0.013818,           0.0065418,           0.0025253,             0.99659,             0.99891,             0.99499,             0.93291,           0.0090318,           0.0024309,          0.00011073,            0.005743,            0.005743,            0.005743
                 131,            0.013621,           0.0064841,             0.00221,             0.99659,             0.99888,             0.99499,             0.93326,           0.0090173,           0.0024268,          0.00011055,             0.00571,             0.00571,             0.00571
                 132,            0.013406,           0.0063802,           0.0021385,             0.99659,             0.99888,             0.99499,             0.93402,           0.0090051,           0.0024224,          0.00011028,            0.005677,            0.005677,            0.005677
                 133,            0.013498,           0.0064251,           0.0023282,              0.9966,             0.99876,             0.99499,             0.93425,           0.0089866,            0.002418,          0.00011026,            0.005644,            0.005644,            0.005644
                 134,            0.013644,           0.0065463,           0.0023982,             0.99665,              0.9988,             0.99499,             0.93432,           0.0089734,           0.0024139,          0.00011011,            0.005611,            0.005611,            0.005611
                 135,            0.013482,           0.0063895,            0.002312,             0.99817,             0.99882,             0.99499,             0.93463,           0.0089644,             0.00241,          0.00010982,            0.005578,            0.005578,            0.005578
                 136,            0.013495,           0.0064512,           0.0024391,             0.99686,             0.99883,             0.99499,              0.9346,           0.0089519,           0.0024061,          0.00010963,            0.005545,            0.005545,            0.005545
                 137,            0.013619,             0.00652,           0.0025222,             0.99725,             0.99882,             0.99499,             0.93509,           0.0089388,           0.0024022,          0.00010952,            0.005512,            0.005512,            0.005512
                 138,            0.013339,           0.0064726,           0.0023751,             0.99733,             0.99879,             0.99499,             0.93514,           0.0089209,           0.0023983,          0.00010905,            0.005479,            0.005479,            0.005479
                 139,            0.013447,           0.0064255,           0.0026379,             0.99744,             0.99874,             0.99499,             0.93477,            0.008906,           0.0023944,          0.00010866,            0.005446,            0.005446,            0.005446
                 140,             0.01349,           0.0064703,           0.0025732,             0.99737,             0.99872,               0.995,             0.93556,           0.0088918,           0.0023902,          0.00010828,            0.005413,            0.005413,            0.005413
                 141,            0.013372,           0.0064085,           0.0023681,             0.99715,             0.99869,               0.995,             0.93548,           0.0088732,           0.0023859,          0.00010771,             0.00538,             0.00538,             0.00538
                 142,            0.013074,           0.0063677,           0.0023133,             0.99703,             0.99871,               0.995,             0.93562,           0.0088576,           0.0023817,          0.00010754,            0.005347,            0.005347,            0.005347
                 143,            0.013257,              0.0064,           0.0021759,             0.99722,             0.99871,               0.995,             0.93633,           0.0088445,           0.0023776,           0.0001072,            0.005314,            0.005314,            0.005314
                 144,            0.013087,            0.006309,           0.0023212,             0.99725,             0.99876,               0.995,             0.93638,           0.0088313,           0.0023729,           0.0001069,            0.005281,            0.005281,            0.005281
                 145,            0.013061,           0.0062421,           0.0019863,             0.99726,             0.99877,               0.995,             0.93707,           0.0088099,           0.0023685,          0.00010659,            0.005248,            0.005248,            0.005248
                 146,            0.012895,            0.006131,           0.0020225,             0.99723,              0.9988,               0.995,             0.93806,           0.0087999,           0.0023641,          0.00010619,            0.005215,            0.005215,            0.005215
                 147,            0.012848,           0.0062133,           0.0020526,             0.99714,             0.99881,               0.995,             0.93807,           0.0087848,           0.0023598,          0.00010588,            0.005182,            0.005182,            0.005182
                 148,            0.012941,           0.0061765,           0.0021109,             0.99716,              0.9988,               0.995,             0.93841,           0.0087694,           0.0023555,          0.00010589,            0.005149,            0.005149,            0.005149
